ProductCategory,CustomerCountry,CustomerContinent,Profit
Clothing,Puerto Rico,North America,499.5
Clothing,United States Minor Outlying Islands,Oceania,2032.8
Baby,Saint Barthelemy,North America,4208.4
Outdoors,Pitcairn,Oceania,5366.55
Books,Laos,Asia,1270.9
Outdoors,Aruba,North America,3359.24
Beauty,Rwanda,Africa,2771.34
Jewelery,Isle of Man,Europe,4712.8
Health,Finland,Europe,6269.13
Industrial,Belarus,Europe,2088.1
Games,Bolivia,South America,1906.56
Games,Martinique,North America,3486.14
Home,Central African Republic,Africa,5238.41
Baby,Nepal,Asia,2061.24
Grocery,Equatorial Guinea,Africa,1038.22
Computers,Belgium,Europe,532.4
Industrial,Germany,Europe,1588.59
Clothing,Eritrea,Africa,2093.52
Garden,New Zealand,Oceania,174.72
Computers,Gibraltar,Europe,1057.98
Automotive,South Korea,Asia,7659.68
Movies,Northern Mariana Islands,Oceania,580.48
Health,Belize,North America,883.46
Shoes,Indonesia,Asia,157.95
Music,Costa Rica,North America,173.66
Kids,Tonga,Oceania,1047.75
Kids,U.S. Virgin Islands,North America,93.6
Movies,El Salvador,North America,454.02
Baby,Vietnam,Asia,3045.9
Home,Israel,Asia,132.6
Sports,Malta,Europe,450.8
Electronics,Dominican Republic,North America,1632.16
Books,Malawi,Africa,538.08
Music,Cambodia,Asia,220.42
Clothing,Senegal,Africa,102.77
Garden,Nepal,Asia,4932.54
Garden,Reunion,Africa,2608.5
Home,Indonesia,Asia,5056.86
Computers,Anguilla,North America,1727.88
Jewelery,Curacao,North America,1331.4
Clothing,Turks and Caicos Islands,North America,135.72
Movies,Serbia,Europe,847.62
Computers,Nauru,Oceania,1249.02
Kids,North Korea,Asia,2862.72
Health,Mauritania,Africa,1922.62
Automotive,Oman,Asia,6936.66
Music,Liechtenstein,Europe,2109.15
Jewelery,Eritrea,Africa,1093.85
Industrial,U.S. Virgin Islands,North America,3231.45
Books,Barbados,North America,5321.4
Sports,Tajikistan,Asia,4293.36
Outdoors,Georgia,Asia,768.4
Books,Malta,Europe,2071.44
Garden,British Virgin Islands,North America,7038.9
Movies,Vanuatu,Oceania,117.18
Jewelery,Antigua and Barbuda,North America,708.8
Books,Greenland,North America,193.44
Toys,Tajikistan,Asia,8352.64
Computers,Macao,Asia,2898.52
Shoes,Dominica,North America,2144.28
Grocery,Guadeloupe,North America,247.52
Tools,Mauritania,Africa,3114.72
Movies,Japan,Asia,4506.25
Games,Finland,Europe,4692.24
Grocery,Saint Barthelemy,North America,2807
Health,Eritrea,Africa,276.51
Sports,Guinea-Bissau,Africa,581.56
Movies,Madagascar,Africa,4673.92
Home,New Caledonia,Oceania,1814.85
Games,Belize,North America,23.23
Industrial,Bahamas,North America,1872.24
Garden,New Zealand,Oceania,2242.8
Music,Fiji,Oceania,4699.89
Toys,Israel,Asia,3211.61
Automotive,Micronesia,Oceania,2359.66
Sports,Bhutan,Asia,254.94
Computers,Qatar,Asia,1121.12
Computers,Laos,Asia,1910.72
Home,Nigeria,Africa,4496.8
Shoes,Chad,Africa,348.14
Toys,Hong Kong,Asia,3300.04
Shoes,Japan,Asia,467.26
Baby,French Southern Territories,Antarctica,913.5
Industrial,Sao Tome and Principe,Africa,8472.48
Clothing,Turkey,Asia,3563.01
Grocery,Guernsey,Europe,1559.44
Clothing,Burundi,Africa,5625.87
Industrial,Netherlands,Europe,278.52
Beauty,Samoa,Oceania,118.14
Computers,Benin,Africa,510.3
Sports,Malaysia,Asia,454.56
Kids,Pakistan,Asia,51.24
Toys,Switzerland,Europe,789.88
Tools,Equatorial Guinea,Africa,2509.46
Shoes,Slovenia,Europe,853.3
Beauty,Brunei,Asia,161.28
Tools,South Africa,Africa,3137.4
Shoes,United States,North America,689.12
Toys,Dominica,North America,38.25
Electronics,Finland,Europe,4577.92
Jewelery,Aland Islands,Europe,581.76
Shoes,Moldova,Europe,330.62
Sports,U.S. Virgin Islands,North America,760.32
Health,Greece,Europe,4858.5
Beauty,American Samoa,Oceania,867.23
Clothing,Bulgaria,Europe,1717.2
Garden,Colombia,South America,463.64
Electronics,Guernsey,Europe,4418.16
Outdoors,Ecuador,South America,784.8
Baby,Tunisia,Africa,1587.6
Tools,Syria,Asia,1915.9
Jewelery,Northern Mariana Islands,Oceania,2573
Toys,Togo,Africa,351.78
Electronics,Australia,Oceania,2406.72
Grocery,Lesotho,Africa,3716.9
Clothing,Greenland,North America,6532
Clothing,Belarus,Europe,1767
Computers,Lesotho,Africa,2148.75
Industrial,Finland,Europe,99.19
Shoes,Afghanistan,Asia,2090.61
Movies,Fiji,Oceania,299.86
Games,Rwanda,Africa,419.07
Outdoors,Andorra,Europe,1354.42
Games,Tokelau,Oceania,5272.5
Books,Jamaica,North America,4403.76
Outdoors,Papua New Guinea,Oceania,5766.08
Automotive,Senegal,Africa,1188.95
Electronics,British Virgin Islands,North America,2970.24
Industrial,Zambia,Africa,2559.45
Music,Costa Rica,North America,4538.82
Health,Greece,Europe,3944.16
Clothing,Bahamas,North America,4495.31
Baby,Myanmar,Asia,3510.94
Garden,Bouvet Island,Antarctica,816.66
Computers,Republic of the Congo,Africa,3030.21
Sports,Gambia,Africa,92.16
Kids,British Indian Ocean Territory,Asia,334.25
Automotive,South Korea,Asia,44.4
Books,Tajikistan,Asia,7217.01
Kids,Iraq,Asia,2171.52
Jewelery,Bolivia,South America,5662.14
Automotive,Saint Pierre and Miquelon,North America,6760.95
Garden,Comoros,Africa,94.23
Kids,Andorra,Europe,1918.6
Kids,Samoa,Oceania,848.16
Sports,Germany,Europe,6683.04
Sports,Zimbabwe,Africa,261.9
Grocery,Christmas Island,Asia,4060.26
Clothing,Thailand,Asia,2957.76
Garden,Andorra,Europe,2067.12
Baby,Lithuania,Europe,446.88
Electronics,Saint Vincent and the Grenadines,North America,2835.66
Grocery,Turks and Caicos Islands,North America,4753.84
Computers,Bulgaria,Europe,306.28
Jewelery,Jamaica,North America,2384.64
Books,Norfolk Island,Oceania,3943.75
Home,Djibouti,Africa,1575
Electronics,United States,North America,1105.53
Automotive,Democratic Republic of the Congo,Africa,2096.1
Industrial,Macedonia,Europe,3309.48
Games,Central African Republic,Africa,2203.58
Books,Qatar,Asia,508.8
Computers,Germany,Europe,974.16
Outdoors,United States,North America,1391
Toys,Saint Martin,North America,2772.96
Jewelery,Sao Tome and Principe,Africa,80.15
Toys,Kyrgyzstan,Asia,1369.21
Automotive,Iran,Asia,2650.5
Health,Pitcairn,Oceania,3428.38
Garden,Sri Lanka,Asia,126.6
Outdoors,Lesotho,Africa,217.08
Music,Indonesia,Asia,5106.08
Shoes,Bosnia and Herzegovina,Europe,46.26
Books,Niger,Africa,2602.46
Movies,India,Asia,979.55
Books,Algeria,Africa,3672.42
Automotive,Finland,Europe,998.99
Outdoors,Puerto Rico,North America,1567.2
Kids,Vanuatu,Oceania,1242
Health,Yemen,Asia,173.88
Books,Equatorial Guinea,Africa,3119.52
Home,Tajikistan,Asia,1571.4
Books,Sint Maarten,North America,2559.18
Books,East Timor,Oceania,5216.63
Books,Guinea,Africa,111.6
Clothing,Curacao,North America,10.95
Music,Rwanda,Africa,777.07
Toys,Bolivia,South America,2239.25
Garden,Montserrat,North America,7602.93
Health,Sweden,Europe,3749.28
Grocery,Slovenia,Europe,4889.25
Toys,Liberia,Africa,1415.04
Shoes,Tajikistan,Asia,1131.55
Automotive,Suriname,South America,763.56
Home,Myanmar,Asia,373.76
Books,Ukraine,Europe,228.92
Clothing,Fiji,Oceania,2307.24
Health,Niue,Oceania,2541.4
Outdoors,Indonesia,Asia,223.26
Sports,Burkina Faso,Africa,180.9
Books,Algeria,Africa,3743.55
Baby,Turks and Caicos Islands,North America,3499.12
Garden,Sri Lanka,Asia,2166.72
Books,Puerto Rico,North America,45.36
Books,French Southern Territories,Antarctica,47.74
Garden,Afghanistan,Asia,3330.6
Garden,Liberia,Africa,4134.24
Tools,Marshall Islands,Oceania,3837.24
Movies,Svalbard and Jan Mayen,Europe,590.94
Electronics,United States Minor Outlying Islands,Oceania,676.6
Tools,Republic of the Congo,Africa,251.79
Movies,Venezuela,South America,1140.57
Electronics,Cuba,North America,907.29
Grocery,Ireland,Europe,745.29
Clothing,Azerbaijan,Asia,347.3
Automotive,United States Minor Outlying Islands,Oceania,164.61
Books,Hong Kong,Asia,184.46
Books,Myanmar,Asia,635.25
Electronics,Aruba,North America,198
Grocery,Denmark,Europe,690.88
Shoes,Central African Republic,Africa,1098
Beauty,Greenland,North America,1607.28
Outdoors,Lesotho,Africa,1557.14
Grocery,Ireland,Europe,255.36
Beauty,Guadeloupe,North America,932.1
Kids,Uruguay,South America,1722.27
Industrial,Italy,Europe,52.16
Books,Bermuda,North America,1653.3
Shoes,Burkina Faso,Africa,1159.21
Computers,Uganda,Africa,3843.36
Games,Denmark,Europe,69.3
Beauty,Kyrgyzstan,Asia,269.45
Music,Western Sahara,Africa,2174.04
Automotive,American Samoa,Oceania,2198.16
Toys,Cuba,North America,925.04
Books,Haiti,North America,27.4
Tools,United States,North America,1290.84
Books,Laos,Asia,4013.8
Baby,Norfolk Island,Oceania,1511.88
Baby,Bahrain,Asia,2649.18
Shoes,Nepal,Asia,2244.36
Industrial,Cambodia,Asia,1036.8
Games,Germany,Europe,2492.28
Books,Maldives,Asia,5835.4
Shoes,French Southern Territories,Antarctica,243.6
Computers,North Korea,Asia,4905.42
Baby,Syria,Asia,135.75
Music,Trinidad and Tobago,North America,4031.58
Baby,Andorra,Europe,3240.64
Tools,Mauritania,Africa,1120.56
Movies,Ireland,Europe,583.8
Movies,Micronesia,Oceania,2739.96
Automotive,Lithuania,Europe,5096.31
Grocery,Haiti,North America,3682.92
Kids,Libya,Africa,7185.46
Sports,Bulgaria,Europe,239.22
Kids,Liberia,Africa,4276.71
Shoes,Rwanda,Africa,6838.59
Music,Svalbard and Jan Mayen,Europe,21.59
Kids,French Guiana,South America,361.26
Outdoors,Kazakhstan,Asia,4322.85
Outdoors,Hungary,Europe,849.6
Sports,Lithuania,Europe,2783.5
Sports,Vatican,Europe,3847.94
Movies,Peru,South America,1904.64
Music,Germany,Europe,2801.64
Beauty,Niue,Oceania,1083.24
Books,Bangladesh,Asia,191.7
Music,Solomon Islands,Oceania,1062.32
Clothing,Turkey,Asia,76.83
Industrial,Cape Verde,Africa,26.32
Sports,Greenland,North America,21.6
Sports,Ecuador,South America,1433.44
Shoes,Jamaica,North America,147.73
Outdoors,Botswana,Africa,251.86
Baby,Bouvet Island,Antarctica,412.08
Electronics,Ghana,Africa,3882.87
Music,Romania,Europe,48.88
Automotive,Israel,Asia,736.17
Toys,Guatemala,North America,822.28
Health,Micronesia,Oceania,7042.2
Toys,Guadeloupe,North America,6011.76
Books,Albania,Europe,152.64
Tools,Liberia,Africa,353.28
Books,France,Europe,1500.6
Books,Barbados,North America,77.14
Kids,Cocos Islands,Asia,387
Computers,Croatia,Europe,3105.45
Sports,Switzerland,Europe,1105.44
Jewelery,Pakistan,Asia,2629.1
Shoes,British Indian Ocean Territory,Asia,1470.76
Games,Indonesia,Asia,1069.9
Beauty,Greece,Europe,2171.41
Tools,British Indian Ocean Territory,Asia,323.4
Computers,Tajikistan,Asia,2064.6
Books,India,Asia,146.64
Computers,Mauritania,Africa,3095.22
Grocery,Greece,Europe,3192.48
Sports,Thailand,Asia,73.8
Movies,Romania,Europe,212.16
Sports,Georgia,Asia,3217.08
Garden,Bahrain,Asia,326.4
Books,Barbados,North America,1389.72
Industrial,Niger,Africa,1774.06
Books,Bolivia,South America,1203.65
Home,Mexico,North America,4094.25
Jewelery,French Polynesia,Oceania,855.4
Music,Guernsey,Europe,5362.56
Electronics,Saudi Arabia,Asia,1495.44
Beauty,Saint Lucia,North America,3063.4
Health,Bahamas,North America,1238.02
Sports,Nauru,Oceania,696.42
Jewelery,Andorra,Europe,1796
Baby,Gibraltar,Europe,914.55
Garden,Croatia,Europe,690.52
Tools,Israel,Asia,257.24
Jewelery,United Arab Emirates,Asia,463.31
Beauty,Algeria,Africa,2211.28
Movies,Macedonia,Europe,8454.08
Kids,Ukraine,Europe,4225.32
Music,Bulgaria,Europe,788.9
Health,Norfolk Island,Oceania,547.3
Grocery,Pakistan,Asia,4863.52
Beauty,Saint Vincent and the Grenadines,North America,580.32
Industrial,Sweden,Europe,443.87
Toys,Estonia,Europe,2516.85
Music,Portugal,Europe,3633.93
Baby,Burkina Faso,Africa,2360.49
Kids,Mexico,North America,1096.68
Music,Bouvet Island,Antarctica,1627.92
Kids,Nigeria,Africa,435.66
Kids,Marshall Islands,Oceania,1623.5
Clothing,Saint Martin,North America,353.58
Kids,Italy,Europe,7652.4
Kids,Norway,Europe,436.92
Movies,Sri Lanka,Asia,2548.68
Beauty,Libya,Africa,2393.34
Industrial,American Samoa,Oceania,59.75
Sports,Vanuatu,Oceania,581.12
Industrial,Belgium,Europe,3963.75
Beauty,Bouvet Island,Antarctica,7989.8
Grocery,Argentina,South America,2062.28
Grocery,Myanmar,Asia,1054.95
Clothing,San Marino,Europe,2216.8
Games,Sudan,Africa,4758.6
Industrial,Djibouti,Africa,1784.32
Kids,Monaco,Europe,2680.92
Garden,Madagascar,Africa,5411
Beauty,Falkland Islands,South America,3273.64
Toys,Jersey,Europe,3973.86
Health,Sri Lanka,Asia,249.63
Baby,Czech Republic,Europe,498.02
Computers,Hungary,Europe,4354.56
Home,Turkey,Asia,324
Outdoors,Sao Tome and Principe,Africa,1427.38
Games,Falkland Islands,South America,5609.47
Outdoors,Slovenia,Europe,770.82
Shoes,Iraq,Asia,256.37
Kids,Jamaica,North America,2463
Jewelery,Falkland Islands,South America,1291.2
Automotive,Bhutan,Asia,807.38
Tools,Bolivia,South America,2915.25
Industrial,Cocos Islands,Asia,3603.6
Sports,Macedonia,Europe,725.92
Grocery,Malta,Europe,4990.52
Grocery,Bosnia and Herzegovina,Europe,208.75
Baby,Seychelles,Africa,3761.45
Jewelery,Hungary,Europe,168.12
Outdoors,Turkey,Asia,910.26
Jewelery,Ethiopia,Africa,6224.72
Kids,Nauru,Oceania,91.35
Sports,El Salvador,North America,4635.73
Outdoors,U.S. Virgin Islands,North America,729.21
Movies,Pakistan,Asia,373.32
Beauty,United Arab Emirates,Asia,2807.35
Baby,Monaco,Europe,522.41
Baby,Pitcairn,Oceania,1841.1
Tools,Guyana,South America,683.24
Toys,Kenya,Africa,3239.52
Tools,Niue,Oceania,229.87
Home,El Salvador,North America,2971.1
Kids,Switzerland,Europe,1672.59
Baby,Cape Verde,Africa,431.97
Garden,Cocos Islands,Asia,2232.24
Computers,Guatemala,North America,1232.4
Garden,Falkland Islands,South America,4828.78
Books,Italy,Europe,2978.06
Tools,Bahrain,Asia,386.22
Tools,Honduras,North America,2050.62
Music,Heard Island and McDonald Islands,Antarctica,2418.15
Electronics,Nigeria,Africa,1215.11
Shoes,Montenegro,Europe,439.92
Kids,Sweden,Europe,6548.28
Outdoors,Philippines,Asia,1229.32
Health,Turkmenistan,Asia,5068.42
Industrial,Republic of the Congo,Africa,5442.83
Music,Vatican,Europe,1765.44
Games,Papua New Guinea,Oceania,1854.72
Movies,Tokelau,Oceania,295.61
Books,Australia,Oceania,4397.12
Sports,Grenada,North America,270.56
Grocery,Guernsey,Europe,1053.36
Shoes,Northern Mariana Islands,Oceania,74.07
Games,Mozambique,Africa,27
Electronics,Equatorial Guinea,Africa,295.1
Health,South Georgia and the South Sandwich Islands,Antarctica,241.8
Industrial,Saint Lucia,North America,4469.58
Industrial,Luxembourg,Europe,8111.42
Toys,Liechtenstein,Europe,4226.25
Industrial,Bouvet Island,Antarctica,911.82
Jewelery,American Samoa,Oceania,1369.6
Movies,Pitcairn,Oceania,1262.36
Tools,Mayotte,Africa,4791.38
Sports,South Georgia and the South Sandwich Islands,Antarctica,1035.63
Outdoors,Benin,Africa,4998.7
Home,Central African Republic,Africa,945.45
Kids,Central African Republic,Africa,326.65
Jewelery,Gambia,Africa,1295.16
Music,India,Asia,4915.05
Music,New Caledonia,Oceania,4039.92
Baby,Italy,Europe,854.88
Books,Czech Republic,Europe,368.42
Grocery,New Caledonia,Oceania,163.17
Automotive,Sudan,Africa,1263.78
Tools,Ireland,Europe,4686.9
Movies,Angola,Africa,1462.6
Electronics,Laos,Asia,321.48
Shoes,Niger,Africa,2367.69
Industrial,Isle of Man,Europe,4198.32
Health,Northern Mariana Islands,Oceania,154.44
Health,Reunion,Africa,2648.08
Health,Gibraltar,Europe,742.39
Games,Slovenia,Europe,3311.91
Games,Qatar,Asia,8094.94
Home,Djibouti,Africa,4358.97
Books,French Guiana,South America,4356.76
Garden,France,Europe,991.87
Garden,U.S. Virgin Islands,North America,499.32
Health,Guinea-Bissau,Africa,6526.38
Automotive,Cameroon,Africa,4538.08
Sports,Brazil,South America,721.92
Movies,Marshall Islands,Oceania,2526.49
Kids,Moldova,Europe,2887.12
Jewelery,Bangladesh,Asia,1387.88
Electronics,British Virgin Islands,North America,1614.8
Outdoors,Tajikistan,Asia,2530.92
Jewelery,Malta,Europe,2088.84
Grocery,United States,North America,3324.33
Health,Jamaica,North America,3684.13
Books,Spain,Europe,3117.1
Baby,Nauru,Oceania,5880.64
Toys,Italy,Europe,215.74
Shoes,Slovakia,Europe,1365.3
Industrial,Chad,Africa,1207.77
Home,Mongolia,Asia,349.67
Jewelery,Guinea,Africa,941.16
Computers,Maldives,Asia,2887.74
Garden,Taiwan,Asia,2160.62
Clothing,Guatemala,North America,3541.14
Computers,Colombia,South America,4622.57
Games,Pitcairn,Oceania,1753.92
Clothing,United Kingdom,Europe,1862.96
Tools,Sint Maarten,North America,2954.72
Toys,Mozambique,Africa,2946.53
Health,India,Asia,5236
Garden,Turks and Caicos Islands,North America,3309.6
Books,Monaco,Europe,564.04
Grocery,Mayotte,Africa,407.49
Outdoors,Guernsey,Europe,655.08
Toys,Moldova,Europe,6381.2
Clothing,Dominica,North America,3839.68
Shoes,New Caledonia,Oceania,2617.84
Outdoors,Tajikistan,Asia,4272.19
Music,Azerbaijan,Asia,1830.34
Tools,Aruba,North America,71.82
Tools,Egypt,Africa,953.87
Toys,British Virgin Islands,North America,340
Health,Mexico,North America,1401.88
Games,Swaziland,Africa,2053.35
Books,Democratic Republic of the Congo,Africa,8278.2
Kids,India,Asia,335.5
Music,Paraguay,South America,1022.4
Games,Algeria,Africa,1206.66
Outdoors,Guam,Oceania,1063.14
Kids,Saint Pierre and Miquelon,North America,347.44
Clothing,South Korea,Asia,2743.64
Outdoors,Denmark,Europe,3996.48
Health,Zimbabwe,Africa,95.58
Industrial,Faroe Islands,Europe,1393.63
Health,Saint Kitts and Nevis,North America,3208.56
Outdoors,Kuwait,Asia,2512.36
Games,Malawi,Africa,1395.87
Industrial,Guatemala,North America,279.72
Sports,Sweden,Europe,3337.4
Jewelery,Albania,Europe,227.25
Sports,Libya,Africa,3084.95
Beauty,Iran,Asia,373.56
Toys,Oman,Asia,41.3
Computers,Hong Kong,Asia,2869.62
Movies,Bangladesh,Asia,2299.59
Garden,Tanzania,Africa,782.04
Tools,Papua New Guinea,Oceania,265.5
Industrial,Chad,Africa,2520.96
Clothing,Tajikistan,Asia,2790.54
Grocery,Italy,Europe,4316.94
Computers,Iran,Asia,2356.2
Garden,Cape Verde,Africa,841.05
Toys,Central African Republic,Africa,1137.42
Computers,Yemen,Asia,933.47
Shoes,Equatorial Guinea,Africa,181.44
Games,Panama,North America,2867.38
Books,Sint Maarten,North America,992.25
Electronics,Estonia,Europe,532.8
Books,Sweden,Europe,672.09
Books,Cameroon,Africa,175.18
Grocery,Malawi,Africa,1527.36
Health,Belize,North America,4314.72
Outdoors,United Kingdom,Europe,660.63
Movies,Slovakia,Europe,1044
Games,Albania,Europe,6
Outdoors,Mexico,North America,1619.68
Computers,Belarus,Europe,1602
Shoes,Sudan,Africa,1194.16
Computers,Ireland,Europe,3444.16
Grocery,Seychelles,Africa,642.4
Computers,Namibia,Africa,2704.8
Music,Maldives,Asia,141.01
Automotive,Andorra,Europe,1980.11
Outdoors,French Southern Territories,Antarctica,3740.6
Industrial,Libya,Africa,1058.6
Tools,Australia,Oceania,690.88
Games,Chile,South America,1381.38
Beauty,United States Minor Outlying Islands,Oceania,4023.76
Clothing,Bosnia and Herzegovina,Europe,2063.05
Games,Antigua and Barbuda,North America,1636.8
Toys,China,Asia,3515.97
Computers,Spain,Europe,3077.12
Beauty,New Caledonia,Oceania,239.36
Industrial,Equatorial Guinea,Africa,1570.74
Home,France,Europe,425.58
Health,Kyrgyzstan,Asia,2044.86
Toys,Cambodia,Asia,2489.5
Music,Turks and Caicos Islands,North America,4748.66
Baby,Saint Kitts and Nevis,North America,4087.04
Baby,Romania,Europe,5311.87
Outdoors,Anguilla,North America,703.8
Electronics,Peru,South America,3397
Books,Macedonia,Europe,5312.37
Computers,United Kingdom,Europe,695.42
Kids,Latvia,Europe,3298
Sports,Central African Republic,Africa,2860.2
Outdoors,French Southern Territories,Antarctica,5355
Health,Sao Tome and Principe,Africa,94.35
Computers,Palau,Oceania,1047.88
Garden,Barbados,North America,1872.06
Garden,Ethiopia,Africa,6896.34
Toys,Morocco,Africa,5209.59
Home,United States Minor Outlying Islands,Oceania,1715.23
Computers,Papua New Guinea,Oceania,3070.08
Tools,Latvia,Europe,1176.5
Automotive,Guinea-Bissau,Africa,97.37
Home,Aruba,North America,1232.1
Garden,Israel,Asia,3494.48
Toys,Indonesia,Asia,515.1
Industrial,Comoros,Africa,3644.28
Music,Libya,Africa,5516.49
Home,Palau,Oceania,6880.58
Industrial,Nepal,Asia,4205.1
Music,Aruba,North America,3213.1
Home,Turks and Caicos Islands,North America,5619.35
Home,Monaco,Europe,887.96
Beauty,Tajikistan,Asia,4687.88
Sports,Sri Lanka,Asia,427.28
Games,Hong Kong,Asia,1294.31
Baby,Cameroon,Africa,1398.96
Garden,Rwanda,Africa,342.4
Garden,Chad,Africa,1478.25
Sports,Norfolk Island,Oceania,7.2
Computers,Morocco,Africa,3757.34
Home,El Salvador,North America,158.34
Tools,South Sudan,Africa,90.86
Garden,Lebanon,Asia,19.2
Industrial,France,Europe,391.82
Jewelery,Nigeria,Africa,136.2
Home,Lesotho,Africa,7131.38
Kids,Turks and Caicos Islands,North America,382.95
Jewelery,Heard Island and McDonald Islands,Antarctica,20.91
Music,Mozambique,Africa,178.15
Garden,Macedonia,Europe,1837.87
Tools,Guinea,Africa,140.4
Home,Antarctica,Antarctica,4943.26
Kids,Malta,Europe,2829.75
Jewelery,South Georgia and the South Sandwich Islands,Antarctica,96.69
Jewelery,Venezuela,South America,954.95
Books,United States,North America,879.1
Music,Croatia,Europe,157.5
Computers,U.S. Virgin Islands,North America,2507.56
Kids,Tokelau,Oceania,154.76
Toys,Tonga,Oceania,3397.6
Clothing,United States,North America,1721.61
Industrial,Cyprus,Europe,3578.53
Baby,Cuba,North America,273
Grocery,Barbados,North America,3559.74
Books,Belize,North America,2701.98
Outdoors,Nauru,Oceania,7718.58
Shoes,East Timor,Oceania,27.84
Toys,Kenya,Africa,3327.73
Home,Japan,Asia,5108.58
Beauty,Aruba,North America,3173
Home,Christmas Island,Asia,866.7
Electronics,Wallis and Futuna,Oceania,4065.6
Industrial,Maldives,Asia,5602.4
Shoes,Slovenia,Europe,1114.92
Movies,Zambia,Africa,3181.36
Music,Heard Island and McDonald Islands,Antarctica,8223.6
Shoes,Sweden,Europe,667.44
Industrial,Greece,Europe,404.92
Garden,Antigua and Barbuda,North America,6802
Tools,South Sudan,Africa,1857.6
Sports,United Kingdom,Europe,314.07
Home,Guadeloupe,North America,2737.82
Industrial,Ukraine,Europe,5344.71
Jewelery,Brunei,Asia,1157.37
Shoes,Cambodia,Asia,441.83
Baby,Kazakhstan,Asia,3727.88
Music,Falkland Islands,South America,102.34
Outdoors,Lithuania,Europe,11.36
Industrial,American Samoa,Oceania,40.7
Industrial,South Sudan,Africa,1369.56
Computers,Albania,Europe,4432.08
Industrial,Peru,South America,381.64
Home,Singapore,Asia,204.84
Baby,Turkey,Asia,646.64
Outdoors,French Guiana,South America,2100.66
Games,Norway,Europe,2472
Grocery,Mauritius,Africa,134.64
Computers,Mauritius,Africa,6152
Home,Sierra Leone,Africa,6166.1
Sports,Turkmenistan,Asia,38.25
Toys,Tunisia,Africa,1022.13
Outdoors,Kuwait,Asia,2748.16
Electronics,Nauru,Oceania,88.56
Jewelery,Comoros,Africa,6496.36
Computers,Republic of the Congo,Africa,922.25
Baby,China,Asia,7719
Clothing,Bosnia and Herzegovina,Europe,3493.76
Music,Guyana,South America,3809.5
Automotive,Libya,Africa,323.08
Outdoors,Isle of Man,Europe,648.6
Automotive,Western Sahara,Africa,2275.2
